ID,COORD_E,COORD_N,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,ESTAB_SA,ENDERECO,BAIRRO,TELEFONE,CEP,CNES,SA_DEPADM,DEPADM,SA_TIPO,TIPO,SA_CLASSE,CLASSE,LEITOS
1,347833.10,7397761.64,355030864000052,3550308005143,64,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,BURGO PAULISTA -AMA ESPECIALIDADES,"R JOSE SILVA ALCANTARA FILHO, 1031",BURGO PAULISTA,22800080,3680000.000000000000000,6393608,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
2,319108.42,7380764.47,355030819000016,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO - AMA ESPECIALIDADES,"AV COMEN SANT'ANNA, 774",JD. BOA ESPERANCA,58742846,5666000.000000000000000,6194974,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
3,331319.42,7396607.58,355030869000001,3550308005027,69,SANTA CECILIA,09,SE,Centro,Centro,"HUMBERTO PASCALI,DR STA CECILIA - AMA ESPECIALIDADES","R VITORINO CARMILO, 599",CAMPOS ELISEOS,38260096,1153000.000000000000000,6138314,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
4,351434.05,7396009.19,355030837000019,3550308005202,37,ITAQUERA,27,ITAQUERA,Leste,Leste 2,ITAQUERA-AMA ESPECIALIDADES,"R AMERICO SALVADOR NOVELLI, 265",ITAQUERA,62860015,8210090.000000000000000,6394558,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
5,342869.78,7389228.61,355030872000050,3550308005158,72,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,JD GUAIRACA - AMA ESPECIALIDADES,"R ERVA IMPERIAL, 501",CID CONTINENTAL,,3244030.000000000000000,6759998,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
6,326183.88,7373067.87,355030823000196,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD ICARAI I (QUINTANA) -AMA ESPECIALIDADES,"R S ROQUE DO PARAGUACU, 190",V QUINTANA,59280272,4837150.000000000000000,6360890,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
7,319801.56,7385478.37,355030817000009,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JD PIRAJUSSARA-AMA ESPECIALIDADES,"AV AMADEU DA SILVA SAMELO, 423",JARDIM MARTINICA,58436257,57601401.000000000000000,6998178,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
8,322187.96,7382341.35,355030846000093,3550308005224,46,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,JD SAO LUIS - AMA ESPECIALIDADES,"R LUIS ANTONIO VERNEY, 98",JD S+O LUIS,55111153,5846380.000000000000000,6200389,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
9,347714.12,7390679.76,355030873000133,3550308005208,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,JD TIETE II - AMA ESPECIALIDADES,"R AUGUSTO FERREIRA RAMOS, 9",JD TIETE,29195248,3947030.000000000000000,6391869,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
10,320319.60,7410136.29,355030861000009,3550308005243,61,PERUS,01,PERUS,Norte,Norte 2,PERUS - AMA ESPECIALIDADES,"R MOGEIRO, 207",PERUS,29014606,5208230.000000000000000,6391893,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
11,331055.43,7400384.23,355030821000001,3550308005062,21,CASA VERDE,04,CASA VERDE-CACHOEIRINHA,Norte,Norte 2,PQ PERUCHE-AMA ESPECIALIDADES,"R JOSE RANGEL DE CAMARGO, 500",PQ PERUCHE,38589865,2538010.000000000000000,6148336,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
12,339203.49,7392421.28,355030801000007,3550308005039,1,AGUA RASA,25,MOOCA,Leste,Leste 1,V BERTIOGA - AMA ESPECIALIDADES,"R FAROL PAULISTANO, 410",JD ITALIA,69561066,3192060.000000000000000,6135749,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
13,330196.17,7380955.02,355030822000066,3550308005164,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,V CONSTANCIA -AMA ESPECIALIDADES,"R HERMENEGILDO MARTINI, SN",V CONSTANCIA,55626944,,6415415,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
14,336287.93,7385865.18,355030868000033,3550308005088,68,SACOMA,13,IPIRANGA,Sul,Sul 1,V DAS MERCES- AMA ESPECIALIDADES,"R NSRA DAS MERCES, 1315",V DAS MERCES,69461443,4165001.000000000000000,6357083,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
15,336513.54,7400957.51,355030886000065,3550308005032,86,VILA GUILHERME,07,VILA MARIA-VILA GUILHERME,Norte,Norte1,V IZOLINA MAZZEI-AMA ESPECIALIDADES,"R ORLANDO RIBEIRO DANTAS, 154",V IZOLINA MAZZEI,22016586,2083010.000000000000000,6451055,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
16,325218.08,7402628.46,355030863000213,3550308005115,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,VILA ZATT - AMA ESPECIALIDADES,"R MONS MANOEL GOMES, 77",PIRITUBA,39752116,2975120.000000000000000,6391885,1,Municipal,49,AMA ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
17,332060.24,7385924.09,355030877000121,3550308005094,77,SAUDE,12,VILA MARIANA,Sul,Sul 1,ALEXANDRE KALIL - AE CECI,"AV CECI, 2235",PLANALTO PAULISTA,,,2751844,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
19,335280.11,7402132.30,355030882000068,3550308005066,82,TUCURUVI,05,SANTANA-TUCURUVI,Norte,Norte1,"ARMANDO DE AGUIAR PUPO,DR - AE","AV NOVA CANTAREIRA, 1476",TUCURUVI,29526700,2331002.000000000000000,2751984,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
21,331134.54,7393336.76,355030807000080,3550308005011,7,BELA VISTA,09,SE,Centro,Centro,CENTRO - AMBULATORIO DE SAUDE MENTAL,"R CARLOS COMENALE, 32",BELA VISTA,2830005,1332030.000000000000000,2068982,2,Estadual,1,AMBULATORIO DE SAUDE MENTAL,3,SAUDE MENTAL,0
22,332177.07,7383169.85,355030838000337,3550308005095,38,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CENTRO DE CONTROLE DE INTOXICACOES - CCI,"AV FRANCISCO DE PAULA Q RIBEIRO, 860",JABAQUARA,50115111,4330020.000000000000000,2081970,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
23,330757.65,7378473.30,355030858000064,3550308005216,58,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CESAR ANTUNES DA ROCHA-AE(PEDREIRA),"R CORREGO AZUL, 433",PEDREIRA,56115044,4463010.000000000000000,2751925,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
24,332149.58,7394733.86,355030866000009,3550308005002,66,REPUBLICA,09,SE,Centro,Centro,CONSOLACAO-AE,"R MARTINS FONTES, 208",CONSOLACAO,32564401,1050000.000000000000000,2069008,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
25,324694.46,7397356.38,355030848000054,3550308005059,48,LAPA,08,LAPA,Oeste,Oeste,FERNANDO RAMIREZ CRUZ - AE,"R BRIG GAVIAO PEIXOTO, 727",LAPA,38652213,5078000.000000000000000,2751941,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
27,327013.79,7400107.66,355030829000045,3550308005117,29,FREGUESIA DO O,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,FREGUESIA DO O-AE,"R BONIFACIO CUBAS, 304",FREGUESIA DO O,39315956,2731000.000000000000000,2751879,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
28,327524.92,7377582.91,355030823000140,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,INTERLAGOS - AME,"R ARTUR NASCIMENTO JUNIOR, 120",JD SATELITE,56682500,4815180.000000000000000,6432530,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
29,336273.77,7394012.95,355030853000023,3550308005018,53,MOOCA,25,MOOCA,Leste,Leste 1,"ITALO DOMIGOS LE VOCCI,DR-AE (MOOCA)","R MARINA CRESPI, 91",MOOCA,22929512,3112090.000000000000000,2751917,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
30,326187.93,7375428.32,355030823000019,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JD CLIPPER-AE,"R DR CARLOS PEZZOLO, sn",PQ ESMERALDA,59285703,4828070.000000000000000,2751887,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
31,328438.52,7381119.92,355030816000026,3550308005172,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,JD DOS PRADOS - AME,"R SANT'ANA, 275",VILA SAO PEDRO,56332491,4676110.000000000000000,6423086,2,Estadual,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
32,355791.87,7394001.48,355030831000169,3550308005264,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JD S CARLOS - AE,"R MACABU, 35",JD. SAO CARLOS,25577021,8411470.000000000000000,4050312,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
33,353528.63,7394455.08,355030847000033,3550308005262,47,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,JOSE BONIFACIO IV-AE,"R ANDREAS AMON, 150",COHAB JOSE BONIFACIO,65232158,8255130.000000000000000,2751895,1,Municipal,1,AMBULATORIO DE ESPECIALIDADES,1,AMBULATORIOS ESPECIALIZADOS,0
