VARIAVEL,CODIGO,CATEGORIA,DESCRICAO,,,
SA_DEPADM,1,Municipal,Administração municipal,,,
SA_DEPADM,2,Estadual,Administração estadual vinculada à Secretaria de Estado da Saúde,,,
SA_DEPADM,3,Federal,Administração federal,,,
SA_DEPADM,4,Privado,"Administração privada (inclui estabelecimentos particulares, filantrópricos, conveniados ou não com a Prefeitura) ",,,
SA_TIPO,1,Ambulatório de Especialidades e Ambulatório,Serviço ambulatorial no qual é atendida diversas especialidades. Conta com equipe multidisciplinar que além da consulta realiza exames de apoio diagnóstico.,,,
SA_TIPO,3,Grupo de Apoio,Serviço voltado ao atendimento e asssistência à criança com câncer.,,,
SA_TIPO,7,Casa do Parto,"Serviço de atendimento às gestantes que realiza o parto humanizado, que dispensa intervenção cirúgica  ou medicamentosa e valoriza o processo de nascimento.",,,
SA_TIPO,9,Centro de Atenção Psicossocial Adulto e CAPS (Centro de Atenção Psicossocial),"Serviço de atendimento aos pacientes portadores de transtornos mentais, alternativos à hospitalização convencional, segundo critérios populacionais e demandas. Atende população adulta.  ",,,
SA_TIPO,10,Centro de Atenção Psicossocial Álcool e Drogas,Tem como ação implementar uma política de atenção integral a usuários de álcool e outras drogas.,,,
SA_TIPO,11,Centro de Atenção Psicossocial Infantil,Serviço de atendimento diário destinado a criança com algum tipo de transtorno mental.,,,
SA_TIPO,12,Centro de Atenção Psicossocial Juventude/CAPS Adolescente e Juventude,Serviço de atendimento diário destinado ao jovem com algum tipo de transtorno mental.,,,
SA_TIPO,13,Centro de Atenção à Saúde Sexual Reprodutiva,Tem como objetivo proporcionar as mulheres orientação e informação sobre sexualidade e direitos reprodutivos sob a perspectiva de gênero. ,,,
SA_TIPO,14,Centro de Convivência e Cooperativa (CECCO),"Estabelecimento de saúde não assistencial, que tem como objetivo promover a reinserção social e integração no mercado de trabalho de pessoas que apresentam transtornos mentais. ",,,
SA_TIPO,16,Centro Referência Infantil e Centro de Referência Tabaco.,São estabelecimentos selecionados para realizar determinados tipos de atendimento. Eles são referência para a população que saberá procurar aquele tipo de serviço e para os profissionais de saúde que vão encaminhar os pacientes.,,,
